date,home_team,away_team,home_score,away_score,result,total_goals,neutral_venue,tournament,tournament_weight
2026-06-12 02:00:00+07:00,Mexico,South Africa,2,0,H,2,True,FIFA World Cup,1.5
2026-06-12 09:00:00+07:00,South Korea,Czech Republic,2,1,H,3,True,FIFA World Cup,1.5
